Id,Start time,Completion time,Email,Name,Gender,Introvert or an extrovert?,"How many hours do you sleep per night, on average? (numeric answer only)",What time do you usually go to bed? Enter in format xx:xx. For example 11:15.,How many countries have you visited? (numeric answer only),"On a scale of 1-5, how much do you dread taking statistics. 1 = not at all; 5 = totally dread..Dread?"
1,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Introvert,3,2:30,4,5
2,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,7,12:30,2,4
3,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,7,11:30,15,3
4,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,9,11:00,1,3
5,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,7,11:30,3,3
6,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Introvert,8,11:30,4,2
7,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Introvert,7,12:30,1,3
8,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,8,2:00,2,3
9,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,7,12:00 usually ,1,4
10,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,8,11:00,1,1
11,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,8,12:15,2,3
12,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Prefer not to say,8,11:30,5,3
13,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,6,11:00,2,3
14,1/12/2026 19:09,1/12/2026 19:09,anonymous,,Female,Extrovert,8,11:00,1,2
15,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Introvert,6,12-3:00,0,2
16,1/12/2026 19:09,1/12/2026 19:09,anonymous,,Male,Introvert,8,11:30,11,5
17,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,8,1:00,2,2
18,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Male,Introvert,7,02:00,8,4
19,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,7,12:00,4,3
20,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,9,12:00,10,3
21,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Male,Extrovert,7,1:30,9,3
22,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Introvert,8,12:30,5,2
23,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,7,01:00,0,3
24,1/12/2026 19:09,1/12/2026 19:09,anonymous,,Female,Introvert,10,12:30 AM,3,1
25,1/12/2026 19:09,1/12/2026 19:09,anonymous,,Female,Introvert,9,12:00,8,3
26,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Male,Prefer not to say,8,12:30,8,1
27,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Male,Extrovert,6,1:30,1,2
28,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,6,1:30,8,5
29,1/12/2026 19:09,1/12/2026 19:09,anonymous,,Male,Introvert,9,02:00,2,2
30,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Male,Extrovert,8,12:00,1,2
31,1/12/2026 19:08,1/12/2026 19:09,anonymous,,Female,Extrovert,9,10:30,14,1
32,1/12/2026 19:09,1/12/2026 19:09,anonymous,,Male,Introvert,7,11:30,5,2
33,1/12/2026 19:09,1/12/2026 19:10,anonymous,,Female,Extrovert,6,1:00,3,3
34,1/12/2026 19:09,1/12/2026 19:10,anonymous,,Male,Introvert,6,1:30,3,2
35,1/12/2026 19:08,1/12/2026 19:10,anonymous,,Female,Prefer not to say,8,2:00 am,7,1
36,1/12/2026 19:09,1/12/2026 19:10,anonymous,,Female,Introvert,7,12:00,2,4
37,1/12/2026 19:09,1/12/2026 19:10,anonymous,,Female,Extrovert,9,11:00,3,3
38,1/12/2026 19:08,1/12/2026 19:10,anonymous,,Female,Introvert,12,10:30,10,1
39,1/12/2026 19:09,1/12/2026 19:10,anonymous,,Male,Introvert,5,12:00,5,3
40,1/12/2026 19:10,1/12/2026 19:10,anonymous,,Female,Introvert,7,12:00,9,3
41,1/12/2026 19:09,1/12/2026 19:11,anonymous,,Male,Introvert,7,12:00,10,2
42,1/12/2026 19:11,1/12/2026 19:12,anonymous,,Female,Introvert,7,11:00,7,2
43,1/12/2026 19:08,1/12/2026 19:12,anonymous,,Male,Introvert,6,11:30,17,1
44,1/12/2026 19:12,1/12/2026 19:12,anonymous,,Female,Introvert,7,12:30,0,2
45,1/12/2026 19:12,1/12/2026 19:13,anonymous,,Female,Introvert,5,3:00,3,1
46,1/12/2026 19:09,1/12/2026 19:16,anonymous,,Female,Extrovert,6,12:30 ,4,2
47,1/12/2026 20:23,1/12/2026 20:23,anonymous,,Female,Introvert,7,12:30,1,3
48,1/13/2026 12:48,1/13/2026 12:50,anonymous,,Female,Introvert,6,12:30,15,2
49,1/13/2026 18:12,1/13/2026 18:13,anonymous,,Female,Introvert,9,22:30,0,3
